#nT = 49 nRho= 80
#logT [K],logRho [g/cc],logP [barye],logE [erg/g],logS [erg/g/K]
1.11000000,-4.15000000,4.52787612,8.83811490,8.49323587
1.11000000,-4.10000000,4.58425806,8.83688944,8.48697347
1.11000000,-4.05000000,4.64382935,8.83509078,8.48033855
1.16000000,-8.00000000,0.71530240,8.89062986,8.80376371
1.16000000,-7.95000000,0.76530240,8.89062986,8.80092948
1.16000000,-7.90000000,0.81530240,8.89062986,8.79807807
1.16000000,-7.85000000,0.86530240,8.89062986,8.79520837
1.16000000,-7.80000000,0.91530240,8.89062986,8.79232057
1.16000000,-7.75000000,0.96530240,8.89062986,8.78941554
1.16000000,-7.70000000,1.01530240,8.89062986,8.78649428
1.16000000,-7.65000000,1.06530240,8.89062986,8.78355848
1.16000000,-7.60000000,1.11530240,8.89062986,8.78060545
1.16000000,-7.55000000,1.16530240,8.89062986,8.77763145
1.16000000,-7.50000000,1.21530240,8.89062986,8.77463297
1.16000000,-7.45000000,1.26530240,8.89062986,8.77161098
1.16000000,-7.40000000,1.31530240,8.89062986,8.76856598
1.16000000,-7.35000000,1.36530240,8.89062986,8.76549747
1.16000000,-7.30000000,1.41530240,8.89062986,8.76240469
1.16000000,-7.25000000,1.46530240,8.89062986,8.75928481
1.16000000,-7.20000000,1.51530240,8.89062986,8.75614036
1.16000000,-7.15000000,1.56530240,8.89062986,8.75297549
1.16000000,-7.10000000,1.61530240,8.89062986,8.74979434
1.16000000,-7.05000000,1.66530240,8.89062986,8.74659877
1.16000000,-7.00000000,1.71530240,8.89062986,8.74338395
1.16000000,-6.95000000,1.76530240,8.89062986,8.74014406
1.16000000,-6.90000000,1.81530240,8.89062986,8.73687360
1.16000000,-6.85000000,1.86530240,8.89062986,8.73357376
1.16000000,-6.80000000,1.91530240,8.89062986,8.73024580
1.16000000,-6.75000000,1.96530240,8.89062986,8.72688966
1.16000000,-6.70000000,2.01530240,8.89062986,8.72350506
1.16000000,-6.65000000,2.06530240,8.89062986,8.72008933
1.16000000,-6.60000000,2.11530240,8.89062986,8.71664432
1.16000000,-6.55000000,2.16530240,8.89062986,8.71317341
1.16000000,-6.50000000,2.21530240,8.89062986,8.70967978
1.16000000,-6.45000000,2.26530240,8.89062986,8.70616318
1.16000000,-6.40000000,2.31530240,8.89062986,8.70262120
1.16000000,-6.35000000,2.36530240,8.89062986,8.69905171
1.16000000,-6.30000000,2.41530240,8.89062986,8.69545280
1.16000000,-6.25000000,2.46530240,8.89062986,8.69182583
1.16000000,-6.20000000,2.51530240,8.89062986,8.68816972
1.16000000,-6.15000000,2.56530240,8.89062986,8.68448217
1.16000000,-6.10000000,2.61530240,8.89062986,8.68076108
1.16000000,-6.05000000,2.66530240,8.89062986,8.67700703
1.16000000,-6.00000000,2.71530240,8.89062986,8.67321959
1.16000000,-5.95000000,2.76530240,8.89062986,8.66939758
1.16000000,-5.90000000,2.81530240,8.89062986,8.66553971
1.16000000,-5.85000000,2.86530240,8.89062986,8.66164468
1.16000000,-5.80000000,2.91530240,8.89062986,8.65771327
1.16000000,-5.75000000,2.96530240,8.89062986,8.65374678
1.16000000,-5.70000000,3.01530240,8.89062986,8.64974667
1.16000000,-5.65000000,3.06530240,8.89062986,8.64571492
1.16000000,-5.60000000,3.11530240,8.89062986,8.64164747
1.16000000,-5.55000000,3.16530240,8.89062986,8.63753884
1.16000000,-5.50000000,3.21530240,8.89062986,8.63338370
1.16000000,-5.45000000,3.26530240,8.89062986,8.62918070
1.16000000,-5.40000000,3.31530240,8.89062986,8.62493263
1.16000000,-5.35000000,3.36530240,8.89062986,8.62064233
1.16000000,-5.30000000,3.41530240,8.89062986,8.61631234
1.16000000,-5.25000000,3.46530244,8.89062986,8.61194057
1.16000000,-5.20000000,3.51530248,8.89062986,8.60752596
1.16000000,-5.15000000,3.56530247,8.89062986,8.60306865
1.16000000,-5.10000000,3.61530413,8.89062986,8.59856982
1.16000000,-5.05000000,3.66532578,8.89062986,8.59403952
1.16000000,-5.00000000,3.71534819,8.89062986,8.58946538
1.16000000,-4.95000000,3.76534050,8.89062986,8.58482842
1.16000000,-4.90000000,3.81526951,8.89063308,8.58010916
1.16000000,-4.85000000,3.86509769,8.89067820,8.57529261
1.16000000,-4.80000000,3.91488252,8.89074850,8.57040143
1.16000000,-4.75000000,3.96470276,8.89080808,8.56546512
1.16000000,-4.70000000,4.01463013,8.89082398,8.56051246
1.16000000,-4.65000000,4.06461151,8.89082189,8.55554908
1.16000000,-4.60000000,4.11465587,8.89081746,8.55055148
1.16000000,-4.55000000,4.16481457,8.89081104,8.54549438
1.16000000,-4.50000000,4.21511880,8.89079984,8.54035460
1.16000000,-4.45000000,4.26536285,8.89073865,8.53514962
1.16000000,-4.40000000,4.31573235,8.89062224,8.52987283
1.16000000,-4.35000000,4.36655954,8.89046229,8.52450154
1.16000000,-4.30000000,4.41811565,8.89025965,8.51901671
1.16000000,-4.25000000,4.46983513,8.88990346,8.51346399
1.16000000,-4.20000000,4.52220397,8.88936434,8.50779661
1.16000000,-4.15000000,4.57616682,8.88863676,8.50192516
1.16000000,-4.10000000,4.63250031,8.88759762,8.49578203
1.16000000,-4.05000000,4.69042754,8.88579442,8.48945570
1.21000000,-8.00000000,0.76496464,8.94127693,8.80810086
1.21000000,-7.95000000,0.81496464,8.94127693,8.80529564
1.21000000,-7.90000000,0.86496464,8.94127693,8.80247071
1.21000000,-7.85000000,0.91496464,8.94127693,8.79962682
1.21000000,-7.80000000,0.96496464,8.94127693,8.79676518
1.21000000,-7.75000000,1.01496464,8.94127693,8.79388698
1.21000000,-7.70000000,1.06496464,8.94127693,8.79099171
1.21000000,-7.65000000,1.11496464,8.94127693,8.78807874
1.21000000,-7.60000000,1.16496464,8.94127693,8.78514777
1.21000000,-7.55000000,1.21496464,8.94127693,8.78219868
1.21000000,-7.50000000,1.26496464,8.94127693,8.77923334
1.21000000,-7.45000000,1.31496464,8.94127693,8.77624955
1.21000000,-7.40000000,1.36496464,8.94127693,8.77324376
1.21000000,-7.35000000,1.41496464,8.94127693,8.77021260
1.21000000,-7.30000000,1.46496464,8.94127693,8.76715634
1.21000000,-7.25000000,1.51496464,8.94127693,8.76407604
1.21000000,-7.20000000,1.56496464,8.94127693,8.76097213
1.21000000,-7.15000000,1.61496464,8.94127693,8.75784478
1.21000000,-7.10000000,1.66496464,8.94127693,8.75469101
1.21000000,-7.05000000,1.71496464,8.94127693,8.75151295
1.21000000,-7.00000000,1.76496464,8.94127693,8.74831453
1.21000000,-6.95000000,1.81496464,8.94127693,8.74509984
1.21000000,-6.90000000,1.86496464,8.94127693,8.74187206
1.21000000,-6.85000000,1.91496464,8.94127693,8.73862516
1.21000000,-6.80000000,1.96496464,8.94127693,8.73535129
1.21000000,-6.75000000,2.01496464,8.94127693,8.73204284
1.21000000,-6.70000000,2.06496464,8.94127693,8.72869957
1.21000000,-6.65000000,2.11496464,8.94127693,8.72532520
1.21000000,-6.60000000,2.16496464,8.94127693,8.72192279
1.21000000,-6.55000000,2.21496464,8.94127693,8.71849506
1.21000000,-6.50000000,2.26496464,8.94127693,8.71503922
1.21000000,-6.45000000,2.31496464,8.94127693,8.71155552
1.21000000,-6.40000000,2.36496464,8.94127693,8.70804602
1.21000000,-6.35000000,2.41496464,8.94127693,8.70451277
1.21000000,-6.30000000,2.46496464,8.94127693,8.70095633
1.21000000,-6.25000000,2.51496464,8.94127693,8.69737420
1.21000000,-6.20000000,2.56496464,8.94127693,8.69376354
1.21000000,-6.15000000,2.61496464,8.94127693,8.69012179
1.21000000,-6.10000000,2.66496464,8.94127693,8.68645059
1.21000000,-6.05000000,2.71496464,8.94127693,8.68274890
1.21000000,-6.00000000,2.76496464,8.94127693,8.67901425
1.21000000,-5.95000000,2.81496464,8.94127693,8.67524427
1.21000000,-5.90000000,2.86496464,8.94127693,8.67143897
1.21000000,-5.85000000,2.91496464,8.94127693,8.66759853
1.21000000,-5.80000000,2.96496464,8.94127693,8.66372267
1.21000000,-5.75000000,3.01496464,8.94127693,8.65981099
1.21000000,-5.70000000,3.06496464,8.94127693,8.65586200
1.21000000,-5.65000000,3.11496464,8.94127693,8.65187609
1.21000000,-5.60000000,3.16496464,8.94127693,8.64785432
1.21000000,-5.55000000,3.21496464,8.94127693,8.64379794
1.21000000,-5.50000000,3.26496464,8.94127693,8.63970946
1.21000000,-5.45000000,3.31496464,8.94127693,8.63558443
1.21000000,-5.40000000,3.36496464,8.94127693,8.63141657
1.21000000,-5.35000000,3.41496464,8.94127693,8.62719946
1.21000000,-5.30000000,3.46496464,8.94127693,8.62292857
1.21000000,-5.25000000,3.51496465,8.94127693,8.61861026
1.21000000,-5.20000000,3.56496465,8.94127693,8.61425287
1.21000000,-5.15000000,3.61496561,8.94127693,8.60986563
1.21000000,-5.10000000,3.66497805,8.94127693,8.60546111
1.21000000,-5.05000000,3.71499108,8.94127693,8.60102024
1.21000000,-5.00000000,3.76498701,8.94127693,8.59651622
1.21000000,-4.95000000,3.81494688,8.94127653,8.59192191
1.21000000,-4.90000000,3.86484921,8.94127019,8.58722079
1.21000000,-4.85000000,3.91472643,8.94125786,8.58244066
1.21000000,-4.80000000,3.96462341,8.94124182,8.57761670
1.21000000,-4.75000000,4.01458076,8.94122438,8.57278290
1.21000000,-4.70000000,4.06456670,8.94120736,8.56794054
1.21000000,-4.65000000,4.11458794,8.94118912,8.56306749
1.21000000,-4.60000000,4.16467628,8.94116734,8.55814344
1.21000000,-4.55000000,4.21485027,8.94113960,8.55314990
1.21000000,-4.50000000,4.26497286,8.94110187,8.54810171
1.21000000,-4.45000000,4.31516722,8.94104946,8.54299291
1.21000000,-4.40000000,4.36565254,8.94097757,8.53780446
1.21000000,-4.35000000,4.41660270,8.94087515,8.53251955
1.21000000,-4.30000000,4.46758628,8.94066441,8.52716728
1.21000000,-4.25000000,4.51896001,8.94033015,8.52172228
1.21000000,-4.20000000,4.57141273,8.93987768,8.51613218
1.21000000,-4.15000000,4.62552720,8.93925953,8.51035570
1.21000000,-4.10000000,4.68055685,8.93817128,8.50447057
1.21000000,-4.05000000,4.73730527,8.93658409,8.49836616
1.26000000,-8.00000000,0.81475422,8.99234495,8.81235962
1.26000000,-7.95000000,0.86475415,8.99234495,8.80958143
1.26000000,-7.90000000,0.91475414,8.99234495,8.80678478
1.26000000,-7.85000000,0.96475419,8.99234495,8.80396979
1.26000000,-7.80000000,1.01475431,8.99234495,8.80113636
1.26000000,-7.75000000,1.06475458,8.99234495,8.79828203
1.26000000,-7.70000000,1.11475492,8.99234495,8.79540880
1.26000000,-7.65000000,1.16475518,8.99234495,8.79252014
1.26000000,-7.60000000,1.21475524,8.99234495,8.78961978
1.26000000,-7.55000000,1.26475504,8.99234495,8.78671152
1.26000000,-7.50000000,1.31475472,8.99234495,8.78378918
1.26000000,-7.45000000,1.36475440,8.99234495,8.78084431
1.26000000,-7.40000000,1.41475423,8.99234495,8.77786861
1.26000000,-7.35000000,1.46475419,8.99234495,8.77486032
1.26000000,-7.30000000,1.51475421,8.99234495,8.77182520
1.26000000,-7.25000000,1.56475425,8.99234495,8.76876929
1.26000000,-7.20000000,1.61475426,8.99234495,8.76569841
1.26000000,-7.15000000,1.66475426,8.99234495,8.76261239
1.26000000,-7.10000000,1.71475426,8.99234495,8.75950749
1.26000000,-7.05000000,1.76475426,8.99234495,8.75638043
1.26000000,-7.00000000,1.81475426,8.99234495,8.75322812
1.26000000,-6.95000000,1.86475422,8.99234495,8.75005076
1.26000000,-6.90000000,1.91475419,8.99234495,8.74684930
1.26000000,-6.85000000,1.96475420,8.99234495,8.74362417
1.26000000,-6.80000000,2.01475431,8.99234495,8.74037590
1.26000000,-6.75000000,2.06475458,8.99234495,8.73710612
1.26000000,-6.70000000,2.11475492,8.99234495,8.73381225
1.26000000,-6.65000000,2.16475518,8.99234495,8.73049051
1.26000000,-6.60000000,2.21475524,8.99234495,8.72713705
1.26000000,-6.55000000,2.26475504,8.99234495,8.72374896
1.26000000,-6.50000000,2.31475472,8.99234495,8.72033034
1.26000000,-6.45000000,2.36475440,8.99234495,8.71688669
1.26000000,-6.40000000,2.41475423,8.99234495,8.71342347
1.26000000,-6.35000000,2.46475419,8.99234495,8.70994244
1.26000000,-6.30000000,2.51475421,8.99234495,8.70643804
1.26000000,-6.25000000,2.56475425,8.99234495,8.70290386
1.26000000,-6.20000000,2.61475426,8.99234495,8.69933367
1.26000000,-6.15000000,2.66475426,8.99234495,8.69572646
1.26000000,-6.10000000,2.71475426,8.99234495,8.69208577
1.26000000,-6.05000000,2.76475426,8.99234495,8.68841500
1.26000000,-6.00000000,2.81475426,8.99234495,8.68471746
1.26000000,-5.95000000,2.86475422,8.99234495,8.68099359
1.26000000,-5.90000000,2.91475419,8.99234495,8.67724010
1.26000000,-5.85000000,2.96475420,8.99234495,8.67345351
1.26000000,-5.80000000,3.01475431,8.99234495,8.66963033
1.26000000,-5.75000000,3.06475458,8.99234495,8.66576902
1.26000000,-5.70000000,3.11475492,8.99234495,8.66187193
1.26000000,-5.65000000,3.16475518,8.99234495,8.65794183
1.26000000,-5.60000000,3.21475524,8.99234495,8.65398168
1.26000000,-5.55000000,3.26475504,8.99234495,8.64999426
1.26000000,-5.50000000,3.31475472,8.99234495,8.64597407
1.26000000,-5.45000000,3.36475440,8.99234495,8.64191378
1.26000000,-5.40000000,3.41475423,8.99234495,8.63780615
1.26000000,-5.35000000,3.46475419,8.99234495,8.63364878
1.26000000,-5.30000000,3.51475421,8.99234495,8.62944652
